Suburb,Rooms,Price,Bathroom,Car,Landsize,Lattitude,Longtitude
Abbotsford,2,1480000,1,1,202,-37.7996,144.9984
Abbotsford,2,1035000,1,0,156,-37.8079,144.9934
Abbotsford,3,1465000,2,0,134,-37.8093,144.9944
Abbotsford,3,850000,2,1,94,-37.7969,144.9969
Abbotsford,4,1600000,1,2,120,-37.8072,144.9941
Abbotsford,2,941000,1,0,181,-37.8041,144.9953
Abbotsford,3,1876000,2,0,245,-37.8024,144.9993
Abbotsford,2,1636000,1,2,256,-37.806,144.9954
Abbotsford,1,300000,1,1,0,-37.8008,144.9973
Abbotsford,2,1097000,1,2,220,-37.801,144.9989
Abbotsford,2,700000,2,1,0,-37.811,145.0067
Abbotsford,3,1350000,2,2,214,-37.8085,144.9964
Abbotsford,2,750000,2,1,0,-37.8078,144.9965
Abbotsford,2,1172500,1,1,195,-37.8084,144.9973
Abbotsford,1,441000,1,1,0,-37.8016,144.9988
Abbotsford,2,1310000,1,2,238,-37.809,144.9976
Abbotsford,3,1200000,2,1,113,-37.8056,144.993
Abbotsford,3,1176500,1,1,138,-37.8021,144.9965
Abbotsford,3,955000,1,0,183,-37.8022,144.9975
Abbotsford,2,890000,1,1,150,-37.8011,145.0004
Abbotsford,4,1330000,2,2,780,-37.8073,144.9952
Abbotsford,3,900000,2,2,0,-37.8093,144.9959
Abbotsford,3,1090000,2,2,4290,-37.8078,144.9965
Abbotsford,2,500000,1,1,0,-37.8015,144.9972
Abbotsford,2,1100000,2,1,124,-37.8079,144.9977
Abbotsford,2,1315000,1,0,147,-37.808,144.994
Abbotsford,1,426000,1,1,0,-37.8016,144.9988
Abbotsford,3,1447500,3,1,166,-37.8017,145.0001
Abbotsford,1,457000,1,1,0,-37.8078,144.9965
Abbotsford,2,1135000,2,2,98,-37.8005,144.9952
Abbotsford,4,1542000,3,1,0,-37.7994,144.9965
Abbotsford,3,1290000,2,2,147,-37.805,144.9943
Abbotsford,3,1290000,1,1,168,-37.8007,144.9958
Abbotsford,1,470000,1,1,0,-37.8055,144.9961
Abbotsford,2,1180000,1,0,162,-37.8016,144.9956
Abbotsford,3,1195000,2,1,120,-37.8022,144.9954
Abbotsford,2,1012500,1,0,182,-37.8021,144.9976
Abbotsford,2,1030000,1,1,172,-37.8086,144.9946
Airport West,3,840000,2,1,303,-37.718,144.878
Airport West,3,730000,2,1,0,-37.7203,144.8755
Airport West,3,770000,2,1,0,-37.7203,144.8755
Airport West,2,603000,1,1,272,-37.7294,144.888
Airport West,3,700000,2,2,239,-37.7218,144.8837
Airport West,3,600000,1,1,290,-37.7273,144.8744
Airport West,2,500000,1,1,168,-37.7215,144.8864
Airport West,3,720000,1,1,620,-37.7173,144.8872
Airport West,4,785000,1,2,597,-37.7259,144.8792
Airport West,6,725000,3,2,976,-37.7239,144.8735
Airport West,2,450000,1,1,110,-37.7216,144.871
Airport West,2,515000,1,1,141,-37.7298,144.8883
Airport West,2,530000,1,1,120,-37.7234,144.8792
Airport West,3,895000,1,6,1063,-37.7249,144.8728
Airport West,3,805000,1,1,0,-37.7217,144.8783
Airport West,3,752000,1,1,265,-37.7302,144.8855
Airport West,2,440000,1,1,192,-37.7177,144.8787
Airport West,5,755000,2,2,596,-37.7248,144.8699
Airport West,3,700000,2,2,165,-37.727,144.887
Airport West,3,830000,1,2,971,-37.7186,144.876
Airport West,2,462500,1,1,164,-37.7218,144.8863
Airport West,3,670000,2,2,657,-37.7269,144.8742
Airport West,2,675000,1,1,612,-37.7187,144.8765
Airport West,3,1042000,2,5,612,-37.7173,144.8796
Airport West,3,910000,1,1,775,-37.7231,144.8835
Airport West,4,773000,3,4,531,-37.7263,144.8679
Airport West,3,810000,3,2,555,-37.7285,144.8694
Airport West,3,715000,2,2,422,-37.7164,144.8792
Airport West,3,790000,1,3,614,-37.7194,144.8827
Airport West,3,540000,2,1,161,-37.7231,144.8802
Airport West,3,825000,2,1,293,-37.72,144.8776
Airport West,3,685000,1,1,579,-37.7226,144.8733
Airport West,3,805000,1,1,623,-37.7184,144.882
Airport West,2,510000,1,1,141,-37.7202,144.8797
Airport West,3,612000,2,1,212,-37.7181,144.8824
Airport West,3,662000,1,2,612,-37.7169,144.8815
Airport West,4,978000,3,2,532,-37.7263,144.869
Airport West,3,720000,1,1,585,-37.72,144.878
Airport West,4,765000,1,2,509,-37.7261,144.8785
Airport West,4,900000,2,3,628,-37.7256,144.8739
Albert Park,2,1275000,1,0,120,-37.8459,144.9555
Albert Park,2,1455000,1,0,159,-37.845,144.9538
Albert Park,3,2850000,2,0,211,-37.8481,144.9499
Albert Park,3,1850000,2,0,128,-37.8452,144.9488
Albert Park,2,1436000,1,0,130,-37.8431,144.9565
Albert Park,2,1110000,1,0,147,-37.8444,144.9484
Albert Park,2,1550000,1,1,167,-37.8405,144.9521
Albert Park,4,2300000,2,1,153,-37.8447,144.9523
Albert Park,3,1550000,2,2,718,-37.8443,144.9598
Albert Park,3,1800000,2,1,132,-37.8415,144.952
Albert Park,2,2120000,1,1,199,-37.8422,144.9554
Albert Park,3,1800000,1,1,253,-37.8443,144.9579
Albert Park,3,1800000,2,1,90,-37.8421,144.9571
Albert Park,2,1810000,1,0,240,-37.8379,144.9539
Albert Park,3,2615000,2,1,177,-37.8415,144.9585
Albert Park,5,2100000,2,1,237,-37.8436,144.9557
Albert Park,3,1300000,1,0,129,-37.8422,144.949
Albert Park,3,1370000,2,2,0,-37.8451,144.9511
Albert Park,2,1000000,1,0,288,-37.8407,144.9523
Albert Park,3,2575000,2,1,228,-37.8445,144.9501
Albert Park,2,1322500,1,0,149,-37.8443,144.9481
Albert Park,2,1562500,1,0,141,-37.8424,144.9562
Albert Park,3,2000000,2,1,211,-37.847,144.9575
Albert Park,3,1900000,1,0,209,-37.8468,144.9546
Albert Park,3,3010000,2,0,147,-37.8473,144.9551
Albert Park,4,2800000,3,1,327,-37.8467,144.9475
Albert Park,2,647000,1,1,0,-37.846,144.9542
Albert Park,3,2100000,1,1,120,-37.8427,144.9546
Albert Park,3,2000000,1,1,238,-37.8461,144.9528
Albert Park,1,442500,1,0,0,-37.8421,144.9517
Albert Park,4,4735000,2,1,330,-37.8477,144.9558
Albert Park,2,1340000,1,0,136,-37.846,144.9517
Albert Park,3,1801000,1,1,202,-37.8429,144.9493
Albert Park,3,1532000,3,1,0,-37.8415,144.9585
Albert Park,3,3755000,2,2,325,-37.8413,144.95
Albert Park,4,2140000,2,1,183,-37.8434,144.9495
Albert Park,2,1750000,1,1,162,-37.8416,144.9488
Albert Park,2,980000,1,0,79,-37.8387,144.9519
Albert Park,3,2030000,2,0,152,-37.8488,144.9551
Albert Park,3,1740000,2,2,147,-37.8448,144.9453
Albert Park,3,2800000,3,1,0,-37.8399,144.9577
Albert Park,1,985000,1,0,81,-37.8411,144.9497
Alphington,4,2000000,2,4,853,-37.7707,145.0318
Alphington,3,1110000,2,2,208,-37.7854,145.0325
Alphington,3,1492000,2,2,411,-37.7713,145.0279
Alphington,4,1717500,2,1,599,-37.7717,145.031
Alphington,5,2840000,4,4,809,-37.775,145.0268
Alphington,2,525500,1,1,88,-37.7791,145.0306
Alphington,2,805000,2,3,155,-37.7804,145.0308
Alphington,2,465000,1,1,0,-37.7773,145.0314
Alphington,3,2000000,3,2,686,-37.78,145.0341
Alphington,3,1540000,1,2,592,-37.7755,145.0288
Alphington,2,820000,1,1,183,-37.7747,145.0264
Alphington,4,1830000,2,2,606,-37.7743,145.0316
Alphington,4,2100000,2,2,575,-37.7723,145.0319
Alphington,3,865000,1,1,180,-37.7802,145.0243
Alphington,2,390000,1,1,0,-37.7773,145.0314
Alphington,2,650000,1,0,0,-37.7848,145.025
Alphington,2,512000,1,1,0,-37.7805,145.0262
Alphington,3,1165000,1,2,979,-37.7792,145.029
Alphington,4,1900000,2,2,556,-37.7844,145.0225
Alphington,3,1485000,0,0,597,-37.7781,145.0284
Alphington,4,1950000,2,3,589,-37.7719,145.0309
Altona,3,520000,2,1,352,-37.87,144.825
